symbol,population,level,finite_count,invalid_count,pip_fallback_count,signed_p01,signed_p05,signed_p50,signed_p95,signed_p99,absolute_p50,absolute_p90,absolute_p95,absolute_p99,absolute_max,approximation
usdcadrmp,geometric,0.5,196918205,0,0,-66.214793006,-40.5748628841,-0.069137058443,40.4938347208,66.0825617998,13.1406746946,40.4938347208,51.7811827217,76.7712289242,215.3606986,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdcadrmp,geometric,0.618,196918205,0,0,-66.7463690769,-40.9824422592,-0.388863142993,40.0911146547,65.6874504705,13.1669691846,40.5748628841,51.7811827217,76.7712289242,215.791635358,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdcadrmp,event_relevant_20,1.272,2939855,0,0,-5.95426693548,-3.83560794622,0.116959540097,4.03216303271,6.09882483456,1.39770640578,3.93659035558,4.87542864584,6.87599350216,17.280443864,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdcadrmp,event_relevant_20,1.618,2939855,0,0,-5.36641485028,-3.15322545434,0.979229239573,5.04395773731,7.14217359558,1.67991075985,4.37655546712,5.35569809838,7.40384283292,18.1659773142,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdcadrmp,event_relevant_20,0.382,2939855,0,0,-8.46493394121,-5.96618142361,-1.46346897377,2.78566839116,4.98382184402,1.95553677995,4.98382184402,6.09882483456,8.56707370063,27.3672105859,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdcadrmp,event_relevant_20,0.5,2939855,0,0,-9.22474216963,-6.4499225385,-1.7241388036,2.59743084015,4.81730201751,2.12680903643,5.34500274789,6.55389891354,9.28022917841,31.7937793524,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdcadrmp,event_relevant_20,0.618,2939855,0,0,-10.0930217622,-6.97288563636,-1.97913271792,2.41707660172,4.66566331211,2.31308187288,5.73235867353,7.02886435322,10.1132178987,36.4959647166,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdjpyrmp,geometric,1.272,196946704,0,3072,-63.7470484809,-38.6742002722,2.12256179029,43.6024245632,69.7472445042,13.5949087996,41.2289524697,52.4059858899,77.8530403327,297.125140212,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdjpyrmp,geometric,1.618,196946704,0,3072,-62.4853967828,-37.6068685818,3.10320012487,44.7503724108,71.2979034196,13.7589479668,41.476945444,52.721208944,78.4780489057,330.993730314,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdjpyrmp,geometric,0.382,196946704,0,3072,-66.0825617998,-40.7374059471,0.23686143294,41.3941158182,67.0137552985,13.4597044504,41.0644481262,52.1968849599,77.3875526545,268.32645734,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdjpyrmp,geometric,0.5,196946704,0,3072,-66.6130763112,-41.1466180869,-0.10047450495,40.9824422592,66.6130763112,13.486637319,41.0644481262,52.1968849599,77.3875526545,264.597911589,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdjpyrmp,geometric,0.618,196946704,0,3072,-67.0137552985,-41.5599408118,-0.436666393894,40.6560531847,66.214793006,13.486637319,41.0644481262,52.1968849599,77.5424051474,263.015865891,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdjpyrmp,event_relevant_20,1.272,3001550,0,43,-6.28446749764,-4.01607462171,0.0745934658301,3.90523887889,6.05025306373,1.4005032163,3.96026902536,4.94413009044,7.05702201194,21.104272671,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdjpyrmp,event_relevant_20,1.618,3001550,0,43,-5.69808458073,-3.32809111437,0.948405128143,4.9342566429,7.04292911079,1.68327226129,4.35909292343,5.34500274789,7.43350265694,21.7466674745,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdjpyrmp,event_relevant_20,0.382,3001550,0,43,-8.53289090552,-6.05025306373,-1.55702764432,2.6393028846,4.96393629536,1.99502130635,5.06416385218,6.18476560139,8.63585064865,34.6475730538,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdjpyrmp,event_relevant_20,0.5,3001550,0,43,-9.20632032266,-6.52774872603,-1.83069870778,2.45113651036,4.79808088628,2.18717063445,5.42032113255,6.61973361598,9.28022917841,40.9824422592,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
