event_family,official_event_timestamp_utc,official_release_date,official_source_agency,official_reference_period,reason
CPI,2011-04-15T07:30:00-05:00,2011-04-15,BLS,March 2011,no_pinned_oanda_candidate
DURABLE_GOODS,2011-04-27T07:30:00-05:00,2011-04-27,CENSUS,March 2011,no_pinned_oanda_candidate
FOMC,2011-04-27T11:30:00-05:00,2011-04-27,FEDERAL_RESERVE,FOMC 2011-04-27,no_pinned_oanda_candidate
GDP,2011-04-28T07:30:00-05:00,2011-04-28,BEA,Q1 2011 Advance,no_pinned_oanda_candidate
PCE,2011-04-29T07:30:00-05:00,2011-04-29,BEA,March 2011,no_pinned_oanda_candidate
EMPLOYMENT,2011-05-06T07:30:00-05:00,2011-05-06,BLS,April 2011,no_pinned_oanda_candidate
JOLTS,2011-05-11T09:00:00-05:00,2011-05-11,BLS,March 2011,no_pinned_oanda_candidate
PPI,2011-05-12T07:30:00-05:00,2011-05-12,BLS,April 2011,no_pinned_oanda_candidate
RETAIL_SALES,2011-05-12T07:30:00-05:00,2011-05-12,CENSUS,April 2011,no_pinned_oanda_candidate
CPI,2011-05-13T07:30:00-05:00,2011-05-13,BLS,April 2011,no_pinned_oanda_candidate
DURABLE_GOODS,2011-05-25T07:30:00-05:00,2011-05-25,CENSUS,April 2011,no_pinned_oanda_candidate
GDP,2011-05-26T07:30:00-05:00,2011-05-26,BEA,Q1 2011 Second,no_pinned_oanda_candidate
PCE,2011-05-27T07:30:00-05:00,2011-05-27,BEA,April 2011,no_pinned_oanda_candidate
EMPLOYMENT,2011-06-03T07:30:00-05:00,2011-06-03,BLS,May 2011,no_pinned_oanda_candidate
JOLTS,2011-06-07T09:00:00-05:00,2011-06-07,BLS,April 2011,no_pinned_oanda_candidate
PPI,2011-06-14T07:30:00-05:00,2011-06-14,BLS,May 2011,no_pinned_oanda_candidate
RETAIL_SALES,2011-06-14T07:30:00-05:00,2011-06-14,CENSUS,May 2011,no_pinned_oanda_candidate
CPI,2011-06-15T07:30:00-05:00,2011-06-15,BLS,May 2011,no_pinned_oanda_candidate
FOMC,2011-06-22T11:30:00-05:00,2011-06-22,FEDERAL_RESERVE,FOMC 2011-06-22,no_pinned_oanda_candidate
DURABLE_GOODS,2011-06-24T07:30:00-05:00,2011-06-24,CENSUS,May 2011,no_pinned_oanda_candidate
GDP,2011-06-24T07:30:00-05:00,2011-06-24,BEA,Q1 2011 Third,no_pinned_oanda_candidate
PCE,2011-06-27T07:30:00-05:00,2011-06-27,BEA,May 2011,no_pinned_oanda_candidate
EMPLOYMENT,2011-07-08T07:30:00-05:00,2011-07-08,BLS,June 2011,no_pinned_oanda_candidate
JOLTS,2011-07-12T09:00:00-05:00,2011-07-12,BLS,May 2011,no_pinned_oanda_candidate
JOLTS,2011-08-10T09:00:00-05:00,2011-08-10,BLS,June 2011,no_pinned_oanda_candidate
JOLTS,2011-09-07T09:00:00-05:00,2011-09-07,BLS,July 2011,no_pinned_oanda_candidate
JOLTS,2011-10-12T09:00:00-05:00,2011-10-12,BLS,August 2011,no_pinned_oanda_candidate
JOLTS,2011-11-08T09:00:00-06:00,2011-11-08,BLS,September 2011,no_pinned_oanda_candidate
JOLTS,2011-12-13T09:00:00-06:00,2011-12-13,BLS,October 2011,no_pinned_oanda_candidate
JOLTS,2012-01-10T09:00:00-06:00,2012-01-10,BLS,November 2011,no_pinned_oanda_candidate
JOLTS,2012-02-07T09:00:00-06:00,2012-02-07,BLS,December 2011,no_pinned_oanda_candidate
JOLTS,2012-03-13T09:00:00-05:00,2012-03-13,BLS,January 2012,no_pinned_oanda_candidate
JOLTS,2012-04-10T09:00:00-05:00,2012-04-10,BLS,February 2012,no_pinned_oanda_candidate
JOLTS,2012-05-08T09:00:00-05:00,2012-05-08,BLS,March 2012,no_pinned_oanda_candidate
JOLTS,2012-06-19T09:00:00-05:00,2012-06-19,BLS,April 2012,no_pinned_oanda_candidate
JOLTS,2012-07-10T09:00:00-05:00,2012-07-10,BLS,May 2012,no_pinned_oanda_candidate
JOLTS,2012-08-07T09:00:00-05:00,2012-08-07,BLS,June 2012,no_pinned_oanda_candidate
JOLTS,2012-09-11T09:00:00-05:00,2012-09-11,BLS,July 2012,no_pinned_oanda_candidate
JOLTS,2012-10-10T09:00:00-05:00,2012-10-10,BLS,August 2012,no_pinned_oanda_candidate
JOLTS,2012-11-06T09:00:00-06:00,2012-11-06,BLS,September 2012,no_pinned_oanda_candidate
JOLTS,2012-12-11T09:00:00-06:00,2012-12-11,BLS,October 2012,no_pinned_oanda_candidate
JOLTS,2013-01-10T09:00:00-06:00,2013-01-10,BLS,November 2012,no_pinned_oanda_candidate
JOLTS,2013-02-12T09:00:00-06:00,2013-02-12,BLS,December 2012,no_pinned_oanda_candidate
JOLTS,2013-03-12T09:00:00-05:00,2013-03-12,BLS,January 2013,no_pinned_oanda_candidate
JOLTS,2013-04-09T09:00:00-05:00,2013-04-09,BLS,February 2013,no_pinned_oanda_candidate
JOLTS,2013-05-07T09:00:00-05:00,2013-05-07,BLS,March 2013,no_pinned_oanda_candidate
JOLTS,2013-06-11T09:00:00-05:00,2013-06-11,BLS,April 2013,no_pinned_oanda_candidate
JOLTS,2013-07-09T09:00:00-05:00,2013-07-09,BLS,May 2013,no_pinned_oanda_candidate
JOLTS,2013-08-06T09:00:00-05:00,2013-08-06,BLS,June 2013,no_pinned_oanda_candidate
JOLTS,2013-09-10T09:00:00-05:00,2013-09-10,BLS,July 2013,no_pinned_oanda_candidate
