event_family,official_event_timestamp_utc,official_release_date,official_source_agency,original_unmatched_reason,classification,detail,cached_file,cached_file_exists,cached_total_rows,cached_us_rows,expected_pinned_report_ids,same_day_us_report_ids,same_day_us_event_names,pinned_report_rows,accepted_candidate_rows,rejected_pinned_rows,pinned_row_detail
JOLTS,2010-11-09T09:00:00-06:00,2010-11-09,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-11-09.json,1,0,0,1371,,,0,0,0,
RETAIL_SALES,2010-11-15T07:30:00-06:00,2010-11-15,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-11-15.json,1,0,0,696,,,0,0,0,
PPI,2010-11-16T07:30:00-06:00,2010-11-16,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-11-16.json,1,0,0,703,,,0,0,0,
CPI,2010-11-17T07:30:00-06:00,2010-11-17,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-11-17.json,1,0,0,699,,,0,0,0,
GDP,2010-11-23T07:30:00-06:00,2010-11-23,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-11-23.json,1,0,0,690,,,0,0,0,
DURABLE_GOODS,2010-11-24T07:30:00-06:00,2010-11-24,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-11-24.json,1,0,0,59,,,0,0,0,
PCE,2010-11-24T07:30:00-06:00,2010-11-24,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-11-24.json,1,0,0,694,,,0,0,0,
EMPLOYMENT,2010-12-03T07:30:00-06:00,2010-12-03,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-12-03.json,1,0,0,707,,,0,0,0,
JOLTS,2010-12-07T09:00:00-06:00,2010-12-07,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-12-07.json,1,0,0,1371,,,0,0,0,
PPI,2010-12-14T07:30:00-06:00,2010-12-14,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-12-14.json,1,0,0,703,,,0,0,0,
RETAIL_SALES,2010-12-14T07:30:00-06:00,2010-12-14,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-12-14.json,1,0,0,696,,,0,0,0,
FOMC,2010-12-14T13:15:00-06:00,2010-12-14,FEDERAL_RESERVE,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-12-14.json,1,0,0,82,,,0,0,0,
CPI,2010-12-15T07:30:00-06:00,2010-12-15,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-12-15.json,1,0,0,699,,,0,0,0,
GDP,2010-12-22T07:30:00-06:00,2010-12-22,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-12-22.json,1,0,0,690,,,0,0,0,
DURABLE_GOODS,2010-12-23T07:30:00-06:00,2010-12-23,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-12-23.json,1,0,0,59,,,0,0,0,
PCE,2010-12-23T07:30:00-06:00,2010-12-23,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-12-23.json,1,0,0,694,,,0,0,0,
EMPLOYMENT,2011-01-07T07:30:00-06:00,2011-01-07,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-01-07.json,1,0,0,707,,,0,0,0,
JOLTS,2011-01-11T09:00:00-06:00,2011-01-11,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-01-11.json,1,0,0,1371,,,0,0,0,
PPI,2011-01-13T07:30:00-06:00,2011-01-13,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-01-13.json,1,0,0,703,,,0,0,0,
CPI,2011-01-14T07:30:00-06:00,2011-01-14,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-01-14.json,1,0,0,699,,,0,0,0,
RETAIL_SALES,2011-01-14T07:30:00-06:00,2011-01-14,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-01-14.json,1,0,0,696,,,0,0,0,
FOMC,2011-01-26T13:15:00-06:00,2011-01-26,FEDERAL_RESERVE,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-01-26.json,1,0,0,82,,,0,0,0,
DURABLE_GOODS,2011-01-27T07:30:00-06:00,2011-01-27,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-01-27.json,1,0,0,59,,,0,0,0,
GDP,2011-01-28T07:30:00-06:00,2011-01-28,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-01-28.json,1,0,0,690,,,0,0,0,
PCE,2011-01-31T07:30:00-06:00,2011-01-31,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-01-31.json,1,0,0,694,,,0,0,0,
EMPLOYMENT,2011-02-04T07:30:00-06:00,2011-02-04,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-02-04.json,1,0,0,707,,,0,0,0,
JOLTS,2011-02-08T09:00:00-06:00,2011-02-08,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-02-08.json,1,0,0,1371,,,0,0,0,
RETAIL_SALES,2011-02-15T07:30:00-06:00,2011-02-15,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-02-15.json,1,0,0,696,,,0,0,0,
PPI,2011-02-16T07:30:00-06:00,2011-02-16,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-02-16.json,1,0,0,703,,,0,0,0,
CPI,2011-02-17T07:30:00-06:00,2011-02-17,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-02-17.json,1,0,0,699,,,0,0,0,
DURABLE_GOODS,2011-02-24T07:30:00-06:00,2011-02-24,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-02-24.json,1,0,0,59,,,0,0,0,
GDP,2011-02-25T07:30:00-06:00,2011-02-25,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-02-25.json,1,0,0,690,,,0,0,0,
PCE,2011-02-28T07:30:00-06:00,2011-02-28,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-02-28.json,1,0,0,694,,,0,0,0,
EMPLOYMENT,2011-03-04T07:30:00-06:00,2011-03-04,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-03-04.json,1,0,0,707,,,0,0,0,
RETAIL_SALES,2011-03-11T07:30:00-06:00,2011-03-11,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-03-11.json,1,0,0,696,,,0,0,0,
JOLTS,2011-03-11T09:00:00-06:00,2011-03-11,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-03-11.json,1,0,0,1371,,,0,0,0,
FOMC,2011-03-15T13:15:00-05:00,2011-03-15,FEDERAL_RESERVE,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-03-15.json,1,0,0,82,,,0,0,0,
PPI,2011-03-16T07:30:00-05:00,2011-03-16,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-03-16.json,1,0,0,703,,,0,0,0,
CPI,2011-03-17T07:30:00-05:00,2011-03-17,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-03-17.json,1,0,0,699,,,0,0,0,
DURABLE_GOODS,2011-03-24T07:30:00-05:00,2011-03-24,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-03-24.json,1,0,0,59,,,0,0,0,
GDP,2011-03-25T07:30:00-05:00,2011-03-25,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-03-25.json,1,0,0,690,,,0,0,0,
PCE,2011-03-28T07:30:00-05:00,2011-03-28,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-03-28.json,1,0,0,694,,,0,0,0,
EMPLOYMENT,2011-04-01T07:30:00-05:00,2011-04-01,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-04-01.json,1,0,0,707,,,0,0,0,
RETAIL_SALES,2011-04-13T07:30:00-05:00,2011-04-13,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-04-13.json,1,0,0,696,,,0,0,0,
JOLTS,2011-04-13T09:00:00-05:00,2011-04-13,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2011-04-13.json,1,0,0,1371,,,0,0,0,
