agency	artifact_path	artifact_sha256	source_url	acquisition_status	parse_status	validation_status	collision_status	diagnostic
dol-eta	2012/021612.asp	c6d75daf012a5f4cf573231d07d39774ec3e49dee1e51848c2c6ae34ab73ed45	https://oui.doleta.gov/press/2012/021612.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/022312.asp	d7e416131dcb8b71d3b4534b452f4ccdf591706d416dfa4b3b6ee809e2d930ed	https://oui.doleta.gov/press/2012/022312.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/030112.asp	7eef68a6fa0df828feda0d5d3b472f4b5a9d2de76abebded5cdfe038b8f12725	https://oui.doleta.gov/press/2012/030112.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/030812.asp	2296e35a7e7d462d26d1749363da184d6abff8515a388a0732f890c923b7d64b	https://oui.doleta.gov/press/2012/030812.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/031512.asp	ae3746d706f75fd67f02a58adc0cdd6df67441158af3b7dbb25de1c2f1786544	https://oui.doleta.gov/press/2012/031512.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/032212.asp	cf272d49a40cff7c0329e7e913ad810dbf9265da175404d3b30a8678fda45409	https://oui.doleta.gov/press/2012/032212.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/032912.asp	2ba83c6faeca5cb3136a97b5f2fe4dd5b1efc13e24ac9cc50212ec38d2d5af11	https://oui.doleta.gov/press/2012/032912.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/040512.asp	4e421279b37ace69874cd1e242752701dcfed8d7a7530a77476e3b5332c566fe	https://oui.doleta.gov/press/2012/040512.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/041212.asp	e54c7bb08bb03db7b5a08351fb4bdf869e0316dfc0fa73539d46c5455ad60f49	https://oui.doleta.gov/press/2012/041212.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/041912.asp	11eba33b62ee46948c61373090f29d52283726eb64a62ac3b4bc8a227489dfee	https://oui.doleta.gov/press/2012/041912.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/042612.asp	712e07ce1977edee3b32b5ad8693695e3c032fcf2557b488c59af1c989538877	https://oui.doleta.gov/press/2012/042612.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/050312.asp	ef53dd4b6a12b0a5aa463faaa27c5ad275f89cc49765a1691fb4b69f038676f9	https://oui.doleta.gov/press/2012/050312.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/051012.asp	5cd61acb757badfe9445ea688b2f29b7f8c4e2ccd1af0cd9df3622d451afd780	https://oui.doleta.gov/press/2012/051012.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/051712.asp	f383e26e0a07127836fe322232ef8c6f77fbce1fc83c71cf702ac4079f9b09e3	https://oui.doleta.gov/press/2012/051712.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/052412.asp	37078f1927f45d4a03ab2e4be23871a4b579f555a6a0bbd4bace04c6a3aedf70	https://oui.doleta.gov/press/2012/052412.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/053112.asp	26085e5a4c183d4ec2cf72c5cfebb067fa8eec92726098c04cd73d25401cde80	https://oui.doleta.gov/press/2012/053112.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/060712.asp	9763ba8b9f4646d7e00478e2a86b93fbe10f352ad32e4fe16a4c587f2ac5a152	https://oui.doleta.gov/press/2012/060712.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/061412.asp	b4b881771e89e07c3bf73c36bbe65c0e7bc308c8b84ebf001ae7f04bbab97775	https://oui.doleta.gov/press/2012/061412.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/062112.asp	dd9be9eba7befd2e51c766d6a18a2fe01b6fa58bbd89d8aaa1cb0acf8a2a1b28	https://oui.doleta.gov/press/2012/062112.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/062812.asp	0280ed45b6996b3161faf0e07bedbbf3a551d9c3556998e91c46667ae9d40ccf	https://oui.doleta.gov/press/2012/062812.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/070512.asp	a871b72c8cad16e4ada4bcf3be6fb793202e93cec0e6d7fef1ef9530ee121f05	https://oui.doleta.gov/press/2012/070512.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/071212.asp	23c512dbe4f73fad199d5d99859da012e0d4992f943b90b836bc0fc6bc7a0578	https://oui.doleta.gov/press/2012/071212.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
